Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1985,,,CD,Value,1985,389.5,,1985,,$389.5M,$4.4B,,$4362.5B,389.5,1985
1986,,,CD,Value,1986,930.1,,1986,,$930.1M,$4.6B,,$4640.7B,930.1,1986
1987,,,CD,Value,1987,1593.6,,1987,$1.6B,,$5.6B,,$5564.0B,1593.6,1987
1988,,,CD,Value,1988,2089.9,,1988,$2.1B,,$6.3B,,$6254.7B,2089.9,1988
1989,,,CD,Value,1989,2587.7,,1989,$2.6B,,$6.6B,,$6580.2B,2587.7,1989
1990,,,CD,Value,1990,3451.6,,1990,$3.5B,,$7.5B,,$7541.1B,3451.6,1990
1991,,,CD,Value,1991,4337.7,,1991,$4.3B,,$7.8B,,$7834.2B,4337.7,1991
1992,,,CD,Value,1992,5326.5,,1992,$5.3B,,$9.0B,,$9024.0B,5326.5,1992
1993,,,CD,Value,1993,6511.4,,1993,$6.5B,,$10.0B,,$10046.6B,6511.4,1993
1994,,,CD,Value,1994,8464.5,,1994,$8.5B,,$12.1B,,$12068.0B,8464.5,1994
1995,,,CD,Value,1995,9377.4,,1995,$9.4B,,$12.3B,,$12320.3B,9377.4,1995
1996,,,CD,Value,1996,9934.7,,1996,$9.9B,,$12.5B,,$12533.8B,9934.7,1996
1997,,,CD,Value,1997,9915.1,,1997,$9.9B,,$12.2B,,$12236.8B,9915.1,1997
1998,,,CD,Value,1998,11416,,1998,$11.4B,,$13.7B,,$13711.2B,11416,1998
1999,,,CD,Value,1999,12816.3,,1999,$12.8B,,$14.6B,,$14584.7B,12816.3,1999
2000,,,CD,Value,2000,13214.5,,2000,$13.2B,,$14.3B,,$14323.7B,13214.5,2000
2001,,,CD,Value,2001,12909.4,,2001,$12.9B,,$13.7B,,$13746.2B,12909.4,2001
2002,,,CD,Value,2002,12044.1,,2002,$12.0B,,$12.6B,,$12615.8B,12044.1,2002
2003,,,CD,Value,2003,11232.9,,2003,$11.2B,,$11.9B,,$11854.4B,11232.9,2003
2004,,,CD,Value,2004,11446.5,,2004,$11.4B,,$12.3B,,$12345.1B,11446.5,2004
2005,,,CD,Value,2005,10520.2,,2005,$10.5B,,$12.3B,,$12289.9B,10520.2,2005
2006,,,CD,Value,2006,9372.6,,2006,$9.4B,,$11.8B,,$11759.5B,9372.6,2006
2007,,,CD,Value,2007,7452.3,,2007,$7.5B,,$10.7B,,$10650.9B,7452.3,2007
2008,,,CD,Value,2008,5471.3,,2008,$5.5B,,$8.8B,,$8776.8B,5471.3,2008
2009,,,CD,Value,2009,4318.8,,2009,$4.3B,,$7.8B,,$7831.0B,4318.8,2009
2010,,,CD,Value,2010,3389.4,,2010,$3.4B,,$7.0B,,$7013.8B,3389.4,2010
2011,,,CD,Value,2011,3100.7,,2011,$3.1B,,$7.1B,,$7135.6B,3100.7,2011
2012,,,CD,Value,2012,2485.614699086,,2012,$2.5B,,$7.0B,,$7015.7B,2485.614699086,2012
2013,,,CD,Value,2013,2140.917718167,,2013,$2.1B,,$7.0B,,$7035.1B,2140.917718167,2013
2014,,,CD,Value,2014,1776.249323795,,2014,$1.8B,,$6.7B,,$6694.7B,1776.249323795,2014
2015,,,CD,Value,2015,1444.993193529,,2015,$1.4B,,$6.7B,,$6710.8B,1444.993193529,2015
2016,,,CD,Value,2016,1130.764650638,,2016,$1.1B,,$7.5B,,$7491.7B,1130.764650638,2016
2017,,,CD,Value,2017,1043.916051485,,2017,$1.0B,,$8.5B,,$8503.2B,1043.916051485,2017
2018,,,CD,Value,2018,695.813578618,,2018,,$695.8M,$9.7B,,$9738.2B,695.813578618,2018
2019,,,CD,Value,2019,630.691377754,,2019,,$630.7M,$11.1B,,$11130.6B,630.691377754,2019
2020,,,CD,Value,2020,483.190106709,,2020,,$483.2M,$12.1B,,$12118.1B,483.190106709,2020
2021,,,CD,Value,2021,585.360559446,,2021,,$585.4M,$15.0B,,$14957.3B,585.360559446,2021
2022,,,CD,Value,2022,482.578146838,,2022,,$482.6M,$15.9B,,$15873.9B,482.578146838,2022
1988,,,CD Single,Value,1988,9.8,,1988,,$9.8M,$6.3B,,$6254.7B,9.8,1988
1990,,,CD Single,Value,1990,6,,1990,,$6.0M,$7.5B,,$7541.1B,6,1990
1991,,,CD Single,Value,1991,35.1,,1991,,$35.1M,$7.8B,,$7834.2B,35.1,1991
1992,,,CD Single,Value,1992,45.1,,1992,,$45.1M,$9.0B,,$9024.0B,45.1,1992
1993,,,CD Single,Value,1993,45.8,,1993,,$45.8M,$10.0B,,$10046.6B,45.8,1993
